week_friday,count,mean,max,min,std
2018-01-05,56,0.7244904613595086,3.53982300884956,-1.19815668202765,1.2146402949465018
2018-01-12,153,0.5408378923973785,5.47945205479452,-3.15457413249211,1.259207677103256
2018-01-19,145,0.5354259956276006,4.0,-6.72782874617737,1.4985597129478812
2018-01-26,154,0.939128888859077,9.04977375565611,-4.87804878048781,1.6489203752724557
2018-02-02,143,0.7789911919818524,4.73537604456824,-2.92397660818713,1.3785021203391365
2018-02-09,132,0.8475010491252024,5.6,-3.17848410757946,1.6825463120190738
2018-02-16,139,0.9903283484766839,4.44444444444444,-3.1496062992126,1.2498588960068733
2018-02-23,120,0.7111073383936344,4.49826989619377,-3.01204819277108,1.3795262028456012
2018-03-02,147,0.2842735678066361,4.61538461538462,-3.82165605095541,1.5546234778171086
2018-03-09,123,0.8807613742555229,5.6,-2.36220472440945,1.5177612804075564
2018-03-16,161,0.5843918166413149,6.34920634920635,-3.5,1.71674840371609
2018-03-23,118,1.078053163568049,6.0,-3.59477124183007,1.6284264216898185
2018-03-30,89,0.9702426974061933,6.59340659340659,-4.13223140495868,1.6860233186917568
2018-04-06,191,0.7581058632773114,8.21917808219178,-2.57731958762887,1.4919413418713416
2018-04-13,115,0.2302225333352276,4.54545454545454,-3.41394025604552,1.4309380368176001
2018-04-20,126,0.4138725021750272,4.23076923076923,-2.56024096385542,1.4952835760363696
2018-04-27,109,0.6239196648960748,3.87096774193548,-3.03643724696356,1.142241711627335
2018-05-04,148,0.8211161398525022,5.34351145038168,-2.02757502027575,1.2837863439757848
2018-05-11,171,0.5787058213135132,7.421875,-4.7008547008547,1.776604007994727
2018-05-18,142,0.9294443535142336,8.03858520900322,-4.3859649122807,1.8313712785598597
2018-05-25,123,0.5164909882712457,3.57142857142857,-3.48837209302326,1.5205678245044159
2018-06-01,129,1.1373784137616214,9.05861456483126,-2.66240681576145,2.4468846267609288
2018-06-08,102,0.9343067939955774,4.71380471380471,-3.46153846153846,1.4602903313181967
2018-06-15,169,0.6246244082671711,4.83870967741935,-2.42718446601942,1.136589358151257
2018-06-22,90,0.9819747615931841,4.63576158940397,-3.66795366795367,1.574747799312334
2018-06-29,86,0.8158575802327795,5.10204081632653,-2.04081632653061,1.5113842221970493
2018-07-06,116,0.8927142635686326,5.94900849858357,-2.62008733624454,1.6510612465461703
2018-07-13,111,0.8397808106044128,4.97737556561086,-2.36486486486486,1.188682411154575
2018-07-20,75,0.84517552334228,6.30630630630631,-3.06748466257669,1.7118866395862167
2018-07-27,102,0.611660134409506,4.8780487804878,-4.58015267175572,1.403876513827506
2018-08-03,84,0.6825121487845499,5.29595015576324,-4.00728597449909,1.7740437983795359
2018-08-10,57,0.8242733632351348,4.91803278688525,-2.65225933202358,1.5905354349873986
2018-08-17,79,0.605361210998828,4.7673531655225,-3.1700288184438,1.5720893252839485
2018-08-24,72,0.326108151016244,5.88235294117647,-6.36363636363636,1.662186547882412
2018-08-31,127,-0.02742123578161629,6.89655172413793,-6.15384615384615,1.9638875740606674
2018-09-07,69,1.0827233564804208,5.53191489361702,-2.88770053475936,1.520768152452654
2018-09-14,108,0.7754620904077613,4.16666666666667,-2.84090909090909,1.228518067936196
2018-09-21,62,0.7445111239659541,5.83333333333333,-2.47619047619048,1.3893640883724732
2018-09-28,51,0.8702229649119727,3.77358490566038,-1.3986013986014,0.9429429805419203
2018-10-05,74,0.740388052120161,5.08474576271186,-2.31660231660232,1.320444473352833
2018-10-12,104,0.5327155598306136,5.45454545454545,-2.81481481481481,1.3736585550203033
2018-10-19,82,-0.029662679094129916,3.69822485207101,-1.82232346241458,1.3752426697510765
2018-10-26,47,0.5071577605097022,4.93827160493827,-2.28136882129278,1.480018743912148
2018-11-02,76,0.9891986651998858,5.50724637681159,-3.42105263157895,2.0023685930670427
2018-11-09,69,0.786985184375062,4.97076023391813,-1.80806675938804,1.606359552999856
2018-11-16,90,1.0645583068588371,5.26315789473684,-2.40641711229947,1.8021732588768695
2018-11-23,106,0.748050792167244,5.55555555555556,-2.3121387283237,1.4294765084182246
2018-11-30,85,1.026427083852999,6.84931506849315,-1.60771704180064,1.684422172779556
2018-12-07,58,0.06597310006161851,3.95256916996047,-2.05479452054794,1.513407015044182
2018-12-14,107,-0.3420814088782912,4.7085201793722,-3.85852090032154,1.8389948870055168
2018-12-21,54,0.6317519062908512,3.31491712707182,-2.52100840336134,1.4772447863188005
2018-12-28,23,0.43251146166320625,1.76991150442478,-2.28426395939086,0.8749357728721822
2019-01-04,13,0.8094753389738263,4.296875,-1.03092783505155,1.2661180037331348
2019-01-11,71,0.45342472730843875,3.5778175313059,-1.55555555555556,1.105451775055739
2019-01-18,84,0.47399336788942026,3.83631713554987,-3.81791483113069,1.693446808653766
2019-01-25,53,0.893646473399031,4.69667318982387,-1.55038759689922,1.5127512061412736
2019-02-01,57,0.7881626117578816,4.91452991452991,-3.35570469798658,2.1124304911065583
2019-02-08,41,0.7974440048025401,3.8961038961039,-2.28758169934641,1.385788265407569
2019-02-15,38,0.5566052304113644,3.36538461538461,-1.92307692307692,1.173726196556561
2019-02-22,80,0.29198260644248764,4.93096646942801,-10.0,1.8055456506163199
2019-03-01,91,0.42667568700865294,6.0,-2.95983086680761,2.4262316554168564
2019-03-08,74,0.25204022131671683,5.29411764705882,-4.16666666666667,1.619175641321143
2019-03-15,64,0.6833765545132422,4.77453580901857,-1.34228187919463,1.2787250376588468
2019-03-22,39,0.5538390353698245,5.26315789473684,-2.14592274678112,1.7365402024441305
2019-03-29,48,0.49941097648286953,4.05405405405405,-4.54545454545455,1.7361291379218484
2019-04-05,120,1.0003948472638313,6.0,-2.71055179090029,1.3850436832719841
2019-04-12,133,0.7639436853876724,6.64739884393064,-1.34048257372654,1.2829029965278995
2019-04-19,99,-0.06343632879837573,2.61845386533666,-2.03252032520325,1.0342055161483907
2019-04-26,68,0.49414064837934857,6.74603174603175,-3.7037037037037,1.7381920854839372
2019-05-03,161,0.38629717013493664,6.55737704918033,-3.77358490566038,1.4342613054835776
2019-05-10,64,0.19533872222407667,4.34782608695652,-1.63265306122449,1.3068978129948519
2019-05-17,47,0.23282005073566023,6.81818181818182,-2.92134831460674,1.6132511018436708
2019-05-24,48,0.422562000994868,3.53982300884956,-2.84900284900285,1.2758874186056675
2019-05-31,30,0.5738083494035574,3.1031031031031,-2.23123732251521,1.1453123232752158
2019-06-07,29,0.5122169148387695,1.88679245283019,-1.76470588235294,1.1203136272661653
2019-06-14,131,0.7712801502060972,6.06060606060606,-1.66270783847981,1.1446394287662993
2019-06-21,44,-0.2108814424734507,10.0,-5.61797752808989,2.3206065217909404
2019-06-28,46,0.09797840342657727,3.29218106995885,-3.50262697022767,1.8261525868236126
2019-07-05,22,0.7182965768902781,4.34782608695652,-2.4896265560166,1.8331405403892194
2019-07-12,52,1.3470903023457566,5.91304347826087,-5.41586073500967,1.7275432343814032
2019-07-19,56,0.9156091875236442,4.79041916167665,-2.65866209262436,1.670585793531322
2019-07-26,40,1.2930685940440103,5.10948905109489,-2.62390670553936,1.3227929163275798
2019-08-02,101,0.7537910119557473,4.53333333333333,-5.26315789473684,1.748076903291696
2019-08-09,28,0.016303770699570924,3.78378378378378,-3.34728033472803,1.5859061002059132
2019-08-16,27,-0.24353422454728585,2.13143872113677,-2.52100840336134,1.2623590915104121
2019-08-23,38,0.6446719860994319,4.49438202247191,-4.54545454545454,1.8315870841669746
2019-08-30,50,0.814110956750605,4.74137931034483,-2.12765957446809,1.6768633348500077
2019-09-06,52,0.12874188532477873,2.57668711656442,-3.42465753424657,1.6929994479117638
2019-09-13,53,0.4781953150509075,3.7037037037037,-2.77777777777778,1.5448425372792498
2019-09-20,63,0.44945344957097266,7.57575757575758,-4.2654028436019,2.1271371532321517
2019-09-27,75,0.4232484142861425,3.6734693877551,-4.28769017980636,1.5301381868663826
2019-10-04,180,2.1233533966429143,3.45528455284553,-4.13533834586466,1.308755406833802
2019-10-11,196,4.202456692364914,11.9791666666667,-2.84974093264249,3.2399635440201306
2019-10-18,95,0.6484470561401797,4.91329479768786,-3.07328605200946,1.5745942671933584
2019-10-25,76,0.6591047822074076,3.29489291598023,-6.19469026548673,1.8337506252834144
2019-11-01,77,-0.6147023521363382,4.95495495495495,-6.66666666666667,2.1423643905731358
